fips_ipeds,year,fourcat,dif_amind,dif_asian,dif_black,dif_hispa,dif_multi,dif_pacis,dif_white
Alabama,2009,For-Profit,0.2236169,0.2892584,-17.4737,0.7151563,-1.683037,,-3.522509
Alabama,2010,For-Profit,0.1356511,-0.0086949,-7.207277,-0.7783927,-1.078034,-0.0515421,-3.887713
Alabama,2011,For-Profit,0.3241267,-0.3421971,37.15563,-4.605247,0.5591477,0.1590057,-38.58156
Alabama,2012,For-Profit,0.2364928,-0.6767215,-2.816091,0.5987984,-0.2784515,0.0804245,-6.924029
Alabama,2013,For-Profit,0.2637569,-0.4755527,-0.4080302,0.3384224,0.0161636,0.110348,-5.916522
Alabama,2014,For-Profit,0.2214831,-0.623295,-0.1433367,0.3706949,-0.0629194,0.0717853,-5.000118
Alabama,2015,For-Profit,0.3200665,-0.1368281,33.44336,-2.825382,-0.6870575,0.40339,-30.93986
Alabama,2016,For-Profit,-0.0294087,-0.4085268,34.88476,-2.364605,-0.0669594,0.4110923,-32.12227
Alabama,2017,For-Profit,0.0639138,-0.7538131,37.65995,-2.315366,-0.5628706,0.0746963,-34.09756
Alabama,2009,Private More Selective,-0.4012177,-2.142277,-3.514597,-13.7164,-2.3559,,25.68897
Alabama,2010,Private More Selective,-0.4307102,-2.668809,-3.242623,-14.90141,-2.220539,-0.1816555,29.27027
Alabama,2011,Private More Selective,-0.3467084,-2.844725,-3.538754,-14.58404,-2.003604,-0.1367612,27.08131
Alabama,2012,Private More Selective,-0.3742278,-3.108556,-4.277893,-13.45982,-1.782455,-0.1337468,25.86482
Alabama,2013,Private More Selective,-0.3796664,-3.195231,-4.521194,-12.5028,-1.948546,-0.1679457,25.16602
Alabama,2014,Private More Selective,-0.4092181,-2.860879,-4.518289,-13.93899,-1.839459,-0.2055962,26.17919
Alabama,2015,Private More Selective,-0.3186986,-2.772584,-4.742479,-15.13959,-1.168147,-0.171302,26.41193
Alabama,2016,Private More Selective,-0.4967316,-2.906152,-4.35447,-16.18545,-1.39139,-0.1209693,27.93221
