fourcat,year,dif_white,dif_hispa,dif_black,dif_asian,dif_amind,dif_pacis,dif_twora
"For-Profit",2009,-30.32425,-7.611607,5.610155,-1.174744,-.2370334,,-1.370934
"For-Profit",2010,-24.82859,-7.738761,8.516424,-2.040033,-.293111,.1827312,-1.741417
"For-Profit",2011,-22.91328,-7.200446,11.07085,-2.031122,-.1636619,.3334199,-1.016065
"For-Profit",2012,-19.51706,-6.591615,11.52824,-1.697432,-.1433844,.3941556,-.6545885
"For-Profit",2013,-16.61553,-6.844878,10.7534,-1.491328,-.1669047,.4722648,-.7960678
"For-Profit",2014,-7.358375,-10.15301,12.08443,-1.719893,-.069653,.4798263,-1.033888
"For-Profit",2015,-6.001971,-10.41369,13.72678,-1.448028,-.0970171,.5087012,-.7842742
"For-Profit",2016,-7.406293,-9.984008,15.06041,-1.581317,-.1112656,.4527514,-.811839
"For-Profit",2017,-7.629419,-10.11145,14.89258,-1.66516,-.1187027,.4699875,-.7224872
"Private More Selective",2009,8.953731,-9.600562,-8.012877,4.443278,-.3667302,,-1.00201
"Private More Selective",2010,12.3281,-10.78036,-8.158119,3.52928,-.6132557,-.0228365,-1.013025
"Private More Selective",2011,9.854036,-10.25792,-8.350638,3.53258,-.5320576,-.0310983,-.0713682
"Private More Selective",2012,9.902831,-10.07515,-8.643513,3.52727,-.5472543,-.0378745,.0805587
"Private More Selective",2013,9.449775,-9.924772,-8.782559,3.62918,-.5955625,-.0529868,.2841434
"Private More Selective",2014,9.13458,-9.886149,-8.864495,3.843212,-.6030615,-.0468456,.3396233
"Private More Selective",2015,8.953699,-9.809569,-8.852372,3.909407,-.614408,-.0417959,.3269402
"Private More Selective",2016,8.735591,-9.673379,-8.744108,3.999557,-.6231717,-.0280298,.2851
"Private More Selective",2017,8.583362,-9.539662,-8.579116,4.07556,-.6294294,-.034363,.3515388
"Private Nonselective",2009,-1.867152,-4.672643,1.583059,-.3072271,.1793269,,-1.453209
"Private Nonselective",2010,-.1702911,-5.715115,2.171493,-.9243036,-.0481681,.1847282,-1.778821
"Private Nonselective",2011,-1.732871,-5.553226,2.670341,-1.113736,.0615664,.2331105,-1.183888
"Private Nonselective",2012,-2.456726,-5.22225,2.920717,-1.240708,.0393121,.214668,-1.024999
"Private Nonselective",2013,-1.37925,-4.966682,2.367844,-1.265207,.0222685,.2226982,-1.01699
"Private Nonselective",2014,-1.247031,-4.783343,2.389066,-1.363059,-.009265,.2373232,-.9569824
"Private Nonselective",2015,-1.638163,-4.222958,2.117041,-1.542512,-.0333248,.2296006,-.8090246
"Private Nonselective",2016,-2.36126,-3.83147,2.076423,-1.438563,.0029718,.2295787,-.7662031
"Private Nonselective",2017,-2.320187,-3.340094,1.720456,-1.534911,-.0428842,.2030438,-.67457
"Private Selective",2009,.0335137,-4.958874,.0274331,-.5143191,.0584828,,-1.244955
"Private Selective",2010,1.80581,-6.10046,1.28141,-1.355181,-.1420783,.0229222,-1.811357
"Private Selective",2011,.5700162,-5.579012,1.720254,-1.354746,-.010032,.0714681,-1.068014
"Private Selective",2012,-.198924,-5.330701,1.128552,-1.314524,-.0429409,.0705946,-.9463405
"Private Selective",2013,-.5739447,-5.032046,.7436162,-1.310977,-.0415848,.0723914,-.7252363
"Private Selective",2014,-1.050907,-4.897453,.6232909,-1.441378,-.090389,.0948999,-.6067538
"Private Selective",2015,-1.437813,-4.306523,.5569212,-1.541479,-.0752288,.1091093,-.5305211
"Private Selective",2016,-1.145655,-3.875071,.4485696,-1.555733,-.0770504,.1251741,-.5190284
"Private Selective",2017,-1.067382,-3.645916,.6613503,-1.607328,-.0716578,.1419181,-.4179069
"Public More Selective",2009,8.700099,-8.550042,-6.866322,7.546364,-.1564409,,-1.757332
"Public More Selective",2010,11.90401,-8.002449,-8.106688,5.596304,-.4411588,.0103793,-1.403214
"Public More Selective",2011,9.671452,-7.52152,-8.276096,5.413318,-.3939419,.0195326,-.5076495
"Public More Selective",2012,9.049664,-7.282371,-8.591614,5.333797,-.4804971,.0191566,-.095653
"Public More Selective",2013,8.297694,-7.050187,-8.865019,5.367976,-.5001434,.0223868,.1451011
"Public More Selective",2014,7.723808,-6.840997,-9.015295,5.486682,-.5260316,.0138734,.2461988
"Public More Selective",2015,7.095741,-6.625914,-9.025824,5.541303,-.534932,.0090417,.2361629
"Public More Selective",2016,6.628891,-6.374414,-8.94935,5.700153,-.5351729,.0034412,.204905
"Public More Selective",2017,6.400963,-6.237027,-8.873857,5.738416,-.5379573,-.0076915,.2866884
"Public Nonselective",2009,-2.985834,-1.580701,2.568944,.6271811,.2542748,,-1.420076
"Public Nonselective",2010,-.8036349,-2.268417,2.730054,-.2491715,-.0196868,.0073267,-1.703837
