year,fourcat,dif_amind,dif_asian,dif_black,dif_hispa,dif_twora,dif_pacis,dif_white
2009,For-Profit,-0.2417105,-1.301476,3.699724,-7.000092,-1.308021,,-29.15974
2010,For-Profit,-0.287128,-2.314043,8.758241,-6.773097,-1.680029,0.1660018,-26.05373
2011,For-Profit,-0.1684495,-2.204792,11.7413,-6.218019,-1.158482,0.3052298,-24.51897
2012,For-Profit,-0.1759134,-1.840073,11.80408,-5.505175,-0.6759292,0.3729446,-20.88137
2013,For-Profit,-0.1861766,-1.627718,10.80962,-6.291443,-0.7692511,0.469323,-17.15956
2014,For-Profit,-0.0659414,-1.902487,11.67067,-10.18363,-0.9693228,0.4858236,-6.650142
2015,For-Profit,-0.0764488,-1.676194,13.58829,-10.4788,-0.8156962,0.5048389,-5.42912
2016,For-Profit,-0.0953218,-1.806268,14.76017,-10.12225,-0.8204786,0.4512346,-6.544247
2017,For-Profit,-0.1055519,-1.840808,14.51035,-10.15325,-0.7409104,0.4629841,-6.856997
2009,Private More Selective,0.0820751,4.379951,-8.21625,-6.440024,-0.9742468,,4.467606
2010,Private More Selective,-0.2116287,3.185452,-7.763615,-7.166474,-0.8931828,0.0230549,7.032821
2011,Private More Selective,-0.1221322,3.178204,-7.885258,-6.647808,0.1009029,0.0071578,5.094214
2012,Private More Selective,-0.1446843,3.177299,-8.129819,-6.446167,0.2411296,0.0041145,5.228098
2013,Private More Selective,-0.1982809,3.295235,-8.384873,-6.325933,0.4421067,-0.0076838,4.994708
2014,Private More Selective,-0.2085677,3.476658,-8.520439,-6.294946,0.4815997,0.0037013,4.836275
2015,Private More Selective,-0.2342771,3.532543,-8.49144,-6.222715,0.4715773,0.0060721,4.688028
2016,Private More Selective,-0.2513572,3.605909,-8.4121,-6.054869,0.4241511,0.0178081,4.45747
2017,Private More Selective,-0.25003,3.644312,-8.318933,-5.920768,0.4727423,0.0104325,4.400098
2009,Private Non-Selective,0.2045423,-0.11104,1.140976,-4.022104,-1.447616,,-2.69827
2010,Private Non-Selective,-0.0191646,-0.7453907,1.793421,-5.019442,-1.730786,0.182964,-1.377934
2011,Private Non-Selective,0.0759059,-0.9337844,2.5173,-4.716537,-1.215614,0.2267039,-3.956044
2012,Private Non-Selective,0.052108,-1.071038,2.615037,-4.645661,-0.8940609,0.2190683,-4.283308
2013,Private Non-Selective,0.0348632,-1.0975,2.093868,-4.485238,-0.9609657,0.2316943,-3.138243
2014,Private Non-Selective,0.0053828,-1.186619,2.133065,-4.337374,-0.8814906,0.2460568,-2.616425
2015,Private Non-Selective,-0.0172819,-1.345891,1.815767,-3.867057,-0.7174818,0.242929,-2.711367
2016,Private Non-Selective,0.0065845,-1.226865,1.72284,-3.499691,-0.6569368,0.239692,-3.282121
2017,Private Non-Selective,-0.0300211,-1.311304,1.329787,-2.991601,-0.5680587,0.2165097,-3.183787
2009,Private Selective,0.071186,-0.4779316,0.3479436,-4.624989,-1.22075,,-0.9171899
2010,Private Selective,-0.125832,-1.324898,1.731598,-5.742171,-1.789063,0.0252239,0.7566538
2011,Private Selective,-0.0009696,-1.316938,2.195104,-5.209398,-1.039336,0.0733733,-0.5445954
2012,Private Selective,-0.0283531,-1.278206,1.648612,-4.977912,-0.9176522,0.0711507,-1.325891
2013,Private Selective,-0.0324226,-1.243992,1.305839,-4.621621,-0.690118,0.0753287,-1.838312
2014,Private Selective,-0.0750692,-1.334804,1.21849,-4.40705,-0.5664473,0.0973526,-2.504057
2015,Private Selective,-0.0643995,-1.390615,1.210946,-3.735121,-0.4890341,0.1103299,-3.125674
