fourcat,year,dif_amind,dif_asian,dif_black,dif_hispa,dif_multi,dif_pacis,dif_white
For-Profit,2009,-0.2370334,-1.174744,5.610155,-7.611607,-1.370934,,-30.32425
For-Profit,2010,-0.293111,-2.040033,8.516424,-7.738761,-1.741417,0.1827312,-24.82859
For-Profit,2011,-0.1636619,-2.031122,11.07085,-7.200446,-1.016065,0.3334199,-22.91328
For-Profit,2012,-0.1433844,-1.697432,11.52824,-6.591615,-0.6545885,0.3941556,-19.51706
For-Profit,2013,-0.1669047,-1.491328,10.7534,-6.844878,-0.7960678,0.4722648,-16.61553
For-Profit,2014,-0.069653,-1.719893,12.08443,-10.15301,-1.033888,0.4798263,-7.358375
For-Profit,2015,-0.0970171,-1.448028,13.72678,-10.41369,-0.7842742,0.5087012,-6.001971
For-Profit,2016,-0.1112656,-1.581317,15.06041,-9.984008,-0.811839,0.4527514,-7.406293
For-Profit,2017,-0.1187027,-1.66516,14.89258,-10.11145,-0.7224872,0.4699875,-7.629419
Private More Selective,2009,-0.3667302,4.443278,-8.012877,-9.600562,-1.00201,,8.953731
Private More Selective,2010,-0.6132557,3.52928,-8.158119,-10.78036,-1.013025,-0.0228365,12.3281
Private More Selective,2011,-0.5320576,3.53258,-8.350638,-10.25792,-0.0713682,-0.0310983,9.854036
Private More Selective,2012,-0.5472543,3.52727,-8.643513,-10.07515,0.0805587,-0.0378745,9.902831
Private More Selective,2013,-0.5955625,3.62918,-8.782559,-9.924772,0.2841434,-0.0529868,9.449775
Private More Selective,2014,-0.6030615,3.843212,-8.864495,-9.886149,0.3396233,-0.0468456,9.13458
Private More Selective,2015,-0.614408,3.909407,-8.852372,-9.809569,0.3269402,-0.0417959,8.953699
Private More Selective,2016,-0.6231717,3.999557,-8.744108,-9.673379,0.2851,-0.0280298,8.735591
Private More Selective,2017,-0.6294294,4.07556,-8.579116,-9.539662,0.3515388,-0.034363,8.583362
Private Nonselective,2009,0.1793269,-0.3072271,1.583059,-4.672643,-1.453209,,-1.867152
Private Nonselective,2010,-0.0481681,-0.9243036,2.171493,-5.715115,-1.778821,0.1847282,-0.1702911
Private Nonselective,2011,0.0615664,-1.113736,2.670341,-5.553226,-1.183888,0.2331105,-1.732871
Private Nonselective,2012,0.0393121,-1.240708,2.920717,-5.22225,-1.024999,0.214668,-2.456726
Private Nonselective,2013,0.0222685,-1.265207,2.367844,-4.966682,-1.01699,0.2226982,-1.37925
Private Nonselective,2014,-0.009265,-1.363059,2.389066,-4.783343,-0.9569824,0.2373232,-1.247031
Private Nonselective,2015,-0.0333248,-1.542512,2.117041,-4.222958,-0.8090246,0.2296006,-1.638163
Private Nonselective,2016,0.0029718,-1.438563,2.076423,-3.83147,-0.7662031,0.2295787,-2.36126
Private Nonselective,2017,-0.0428842,-1.534911,1.720456,-3.340094,-0.67457,0.2030438,-2.320187
Private Selective,2009,0.0584828,-0.5143191,0.0274331,-4.958874,-1.244955,,0.0335137
Private Selective,2010,-0.1420783,-1.355181,1.28141,-6.10046,-1.811357,0.0229222,1.80581
Private Selective,2011,-0.010032,-1.354746,1.720254,-5.579012,-1.068014,0.0714681,0.5700162
Private Selective,2012,-0.0429409,-1.314524,1.128552,-5.330701,-0.9463405,0.0705946,-0.198924
Private Selective,2013,-0.0415848,-1.310977,0.7436162,-5.032046,-0.7252363,0.0723914,-0.5739447
Private Selective,2014,-0.090389,-1.441378,0.6232909,-4.897453,-0.6067538,0.0948999,-1.050907
